cycle,database_style_key,epa_short_name,indicator,source_dataset,epa_definition_what_it_measures,definition_source,sample_or_record_type_s,units,legal_values_format,range_low,range_high,definition_status,convenience_prefix,appears_in_count_datasets,metadata_record_count
1314,benthic_mmi_DATE_COL,DATE_COL,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Date of data collection in field,2013–2014 EPA metadata,VERIF,,,,,Single metadata definition,benthic_mmi,14,1
1314,benthic_mmi_DIVS_PT,DIVS_PT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for diversity metric,2013–2014 EPA metadata,BERW | BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,Same label appears for multiple sample/record types,benthic_mmi,1,2
1314,benthic_mmi_FEED_PT,FEED_PT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for functional feeding group,2013–2014 EPA metadata,BERW | BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,Same label appears for multiple sample/record types,benthic_mmi,1,2
1314,benthic_mmi_HABT_PT,HABT_PT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for habit,2013–2014 EPA metadata,BERW | BETB,,Good|Fair|Poor|Not Assessed,0.0,10.0,Same label appears for multiple sample/record types,benthic_mmi,1,2
1314,benthic_mmi_INDEX_VISIT,INDEX_VISIT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Index visit Y/blank,2013–2014 EPA metadata,VERIF,,,,,Single metadata definition,benthic_mmi,10,1
1314,benthic_mmi_LAT_DD83,LAT_DD83,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Latitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Latitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,2013–2014 EPA metadata,DESIGN,,Numeric,,,Multiple protocol-specific labels — see Metadata Detail,benthic_mmi,8,2
1314,benthic_mmi_LON_DD83,LON_DD83,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Longitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Longitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,2013–2014 EPA metadata,DESIGN,,Numeric,,,Multiple protocol-specific labels — see Metadata Detail,benthic_mmi,8,2
1314,benthic_mmi_METRIC_TAXA_ROOT,METRIC_TAXA_ROOT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,"Taxonomic level used in calculation of metrics: WSA=taxonomic aggregation used in WSA-based NRSA MMI,LOWEST=NRSA target taxonomic level",2013–2014 EPA metadata,,,,,,Same label appears for multiple sample/record types,benthic_mmi,2,3
1314,benthic_mmi_MMI_BENT,MMI_BENT,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic MMI score,2013–2014 EPA metadata,BERW | BETB,,Good|Fair|Poor|Not Assessed,0.0,100.0,Same label appears for multiple sample/record types,benthic_mmi,2,2
1314,benthic_mmi_OE_SCORE,OE_SCORE,Benthic Macroinvertebrates,NRSA 1314 Benthic Macroinvertebrate MMI,O/E score for benthic sample,2013–2014 EPA metadata,BERW | BETB,,,0.0,,Same label appears for multiple sample/record types,benthic_mmi,2,2
